日期,year,month,yearweek,yearday,week,weekend,workday,holiday_type,is_legal_workday,是否节假日,holiday_recess,holiday_name,节假日类型
2025-10-16,2025,10,41,289,3,0,0,,1,0,0,,普通日
2025-10-17,2025,10,41,290,4,0,0,,1,0,0,,普通日
2025-10-18,2025,10,41,291,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-10-19,2025,10,42,292,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-10-20,2025,10,42,293,0,0,0,,1,0,0,,普通日
2025-10-21,2025,10,42,294,1,0,0,,1,0,0,,普通日
2025-10-22,2025,10,42,295,2,0,0,,1,0,0,,普通日
2025-10-23,2025,10,42,296,3,0,0,,1,0,0,,普通日
2025-10-24,2025,10,42,297,4,0,0,,1,0,0,,普通日
2025-10-25,2025,10,42,298,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-10-26,2025,10,43,299,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-10-27,2025,10,43,300,0,0,0,,1,0,0,,普通日
2025-10-28,2025,10,43,301,1,0,0,,1,0,0,,普通日
2025-10-29,2025,10,43,302,2,0,0,,1,0,0,,普通日
2025-10-30,2025,10,43,303,3,0,0,,1,0,0,,普通日
2025-10-31,2025,10,43,304,4,0,0,,1,0,0,,普通日
