商品编码,日期,商品名称,销售数量,销售金额,销售净额,折扣金额,售价,是否促销,平均售价,实际折扣率
4701098,2025-08-11,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-12,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-08-13,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-08-14,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-08-15,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-16,福荫韧豆腐380g,5.0,29.950000000000003,26.50442478,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-17,福荫韧豆腐380g,3.0,17.97,15.902654867999999,0.0,5.989999999999999,0.0,5.989999999999999,1.0
4701098,2025-08-18,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-19,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-20,福荫韧豆腐380g,2.0,11.98,9.327433628,1.44,5.99,1.0,5.2700000000000005,0.8797996661101837
4701098,2025-08-21,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-22,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-23,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-24,福荫韧豆腐380g,10.0,59.900000000000006,42.389380532000004,12.0,5.99,1.0,4.790000000000001,0.7996661101836394
4701098,2025-08-25,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-26,福荫韧豆腐380g,3.0,17.97,15.902654867999999,0.0,5.989999999999999,0.0,5.989999999999999,1.0
4701098,2025-08-27,福荫韧豆腐380g,4.0,23.96,21.203539824,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-28,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
